show_id,type,title,director,cast,average_rating,country,date_added,release_year,rating,duration,listed_in,description
s3514,Movie,15-Minute Yoga Stretch 1.0 Workout,,Maggie Binkley,2.16,,,2018,ALL,20 min,fitness,No equipment needed. Tip: Complete Series 1.0 2.0 and 3.0 for 4 weeks each prior to Series 4.0. A workout designed to increase muscle tone by challenging your body with combination exercises that amp up results. find the Weekly Workout Schedule for this Series and more on my website (fitnessMaggie).
s7523,TV Show,Clip: Run Fox (English Title),,,1.97,,,2017,ALL,1 Season,Animation\Kids,Abhijit a college professor is warned by a soothsayer to stay away from love for his benefit. Later as he encounters a number of tragedies in his life he recalls the prophecy of the soothsayer.
s286,TV Show,Toradora!,,Rie Kugimiya\Junji Majima,3.63,,,2009,TV-14,1 Season,Animation\Anime\Drama,Toradora! tells the tale of Ryuji (dragon) and Taiga (tiger) helping each other confess to their crushes. From the classroom to the pool to a summer vacation house and even the school's culture festival... will Ryuji and Taiga be able to help one another conquer their emotions or will a new bond be formed in the chaotic war of love?
s3074,TV Show,Big Shrimpin',,Jeremy Schjott,2.69,,,2012,13+,1 Season,Documentary\Drama\Unscripted,Bharat is a journey of a man and a nation together. At the cusp of India's birth as an Independent nation a family makes an arduous journey to freedom. Played by Indian superstar Salman Khan in the title role with Katrina Kaif Sunil Grover Tabu and Disha Patni Bharat is an entertaining and endearing film about a man’s sacrifices to fulfill a promise made to his father.
s5186,TV Show,Gecko's Garage - Vehicle Cartoons for Kids,,,1.18,,,2016,ALL,3 Seasons,Animation\Kids,The Tooth Fairy is back. 15 years after the events of the first movie Corey now grown up but mentally scarred has gone to a class reunion. However the Tooth Fairy is back and this time - You better have flossed properly.
s3567,TV Show,10 Day Yoga for Weight Loss Challenge with Chelsey,,Chelsey Jones,2.28,,,2021,13+,1 Season,fitness\Special Interest,Lured by the promise of an Australian holiday exchange student Paul visits the notorious Wolf Creek Crater. His dream Outback adventure soon becomes a horrific reality when he encounters the site's most infamous local Mick Taylor (John Jarratt). When Paul attempts to flee Mick pursues him across a hostile wasteland and eventually drags him back to his underground lair.
s5718,Movie,Gamera vs. Guiron,Noriaki Yuasa,Nobuhiro Kajima\Miyuki Akiyama\Christopher Murphy,2.85,,,1969,13+,82 min,Science fiction,A young stockbroker at a Mob-controlled Wall Street firm gets betrayed and sent to prison for six years. When he gets out his quest for vengeance makes him a target of the Russian mafia.
s2875,Movie,Chee & T,Tanuj Chopra,Dominic Rains\Sunkrish Bala\Asif Ali,2.6,,,2018,18+,79 min,Action\Comedy\Special Interest,A hapless Navy sailor is assigned SP duty. The catch: he must escort a beautiful female prisoner on her way to prison for going UA. She in turn will try anything to escape.
s674,Movie,The Face of Jesus Christ,Dane Wilson,Douglas Wilson,4.66,,,2019,ALL,33 min,Faith and Spirituality,We honestly have very little idea what Jesus Christ looked like. We worship Him as the visible image of the invisible Father and yet we do not know what that visible image looks like. We are supposed to see the face of Jesus Christ in and through the declaration of what Scripture describes as good news-gospel truth. This is where we are supposed to find the only authorized portrait of Jesus.
s3323,TV Show,All Or Nothing: New Zealand All Blacks,,Taika Waititi,1.18,New Zealand,,2018,16+,1 Season,Documentary\Sports\Unscripted,After deciphering a message found in a satellite genius cryptographer Alex Jacobs finds himself being stalked by government agents and otherworldly beings.
s4125,Movie,Queen: Mercury Rising,Maureen Goldthorpe,Queen,3.25,,,2011,13+,57 min,Documentary,MAYBELINE a divorced woman struggling to find herself discovers her only sister SHARON (mother of 3 young boys) is terminally ill. MAYBELINE's life is upside down as she takes on a role she never anticipated fighting to save herself and the 3 young boys.
s8993,TV Show,The Latino Americans,,Benjamin Bratt,1.07,,,2013,TV-PG,1 Season,Special Interest,After the release of the Demon Bull King MK accidentally grabs Monkey King's magical staff and goes on a journey to return the staff to Monkey King
s3384,Movie,A Trip Under the Sea,Mark Knight,Nick Mortorano\ Phd,4.66,,,2013,ALL,60 min,Special Interest,This no holds barred award winning documentary chronicles the days before during and after Hurricane Katrina. Told from the viewpoint of several families stuck in New Orleans this moving and unflinching story says so much by saying so little. Most of this footage has never been seen by the public and there is absolutely no stock footage used in this film.
s9084,TV Show,The Alchemists,,Grant Show\Ruth Gemmell\Edward Hardwicke,2.9,,,1999,TV-14,1 Season,Drama\Suspense,A high-flying martial arts chase for an ancient document which can unlock the Secret of the Sword which is rumored to give the possessor the ultimate Kung-Fu power.
s2279,TV Show,Guess How Much I Love You,,,1.35,,,2015,TV-Y,1 Season,Kids,Software engineer Venkata Krishna Gubbi meets Purple Priya and falls head over heels for her. But that's only the beginning his problems. All hell breaks loose once Gubbi finds himself on the wrong side of the villainous Mr. Robinhood and Venkat Reddy and to make things worse Priya is kidnapped! What follows is a series of misadventures.
s1310,TV Show,Pinkfong! Halloween Songs,,,1.15,,,2017,ALL,3 Seasons,Animation\Kids,It's time to celebrate Halloween with ghosts and monsters. Let's sing and dance with monster friends! Meet Pinkfong's fun educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong the official creator of global hit Baby Shark behind #BabySharkChallenge.
s1656,Movie,Miracle Dogs Too,Richard Gabai,Janine Turner\Patrick Muldoon\Dustin Hunter Evans,1.97,,,2006,ALL,85 min,Drama\Kids,Zack a young boy finds two cocker spaniels caged in the woods and takes them home. The animals Sissy and Buddy have magical healing powers that change the people of a small town.
s2397,Movie,Gallagher: Stuck In the 60s,Wayne Orr,Gallagher,2.71,,,1983,,58 min,Comedy,Lock up your watermelons and anything else that splatters! With a name like 'Sledge-O-Matic' you know Gallagher is sure to get crazy in this special filmed in 2000!
s6392,Movie,Huk,John Barnwell,,2.27,,,1956,7+,85 min,Action,Enjoy a collection of Halloween kids songs loved by children around the world including songs such as 'Wheels on the Bus' 'Trick or Treat Song' and 'Let's Carve A Pumpkin Song'. With over 35 million subscribers on Youtube Little Baby Bum is a fun educational children's nursery rhyme channel watched globally by kids. Follow Mia and Jacus as they celebrate Halloween!
s1318,TV Show,Pinkfong! Car Songs (Spanish Version),,,4.28,,,2014,ALL,1 Season,Animation\Kids,Sing along to fun children's songs and learn the names of various vehicles. Meet Pinkfong's fun educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong the official creator of global hit Baby Shark behind #BabySharkChallenge.
s5592,Movie,Elton John - Uncensored,Chris Purchase,Graham Norton\Elton John,1.55,,,2019,,58 min,Documentary,Robert and Vera try to do what's best for the people they love and those they protect. But as the characters struggle to suppress their inner demons a course of destruction emanates from hidden secrets that can never be escaped.
s19,TV Show,Zoë Coombs Marr: Bossy Bottom,,Zoë Coombs Marr,1.17,,,2020,18+,1 Season,Comedy\Talk Show and Variety,Zoë Coombs Marr has been on hiatus. Sort of. For six years she won stacks of awards and acclaim as a hack comic with a neckbeard called Dave. Whatever. She’s scraped off the neckbeard and is BAAAACK… as herself. There is no comedian quite like Zoë. Bossy Bottom is a joyously silly return to very serious stand up from the MICF Most Outstanding Show winner and Edinburgh Best Show nominee.
