show_id,type,title,director,cast,average_rating,country,date_added,release_year,rating,duration,listed_in,description
s5162,Movie,I Am Not Madame Bovary,Xiaogang Feng,Fan Bingbing\Chengpeng Dong,3.72,,,2016,16+,139 min,Comedy\Drama,Reality TV stars attend a Halloween Scare Attraction. Suddenly the escape room turns deadly as gas leaks in leaving them unconscious. A voice tells them they must tell a truth or die. Who will survive the real scare attraction?
s4843,Movie,Frank & Fearless,Gray Hofmeyr,Leon\Themba,2.84,,,2018,16+,100 min,Comedy,A mother who disowns her son Rahul newly wed daughter in law Sonali because her nephew Nandu tells her that as per her horoscope Sonali will not be able to bear a child toddler
s839,TV Show,Swamp People,,,4.26,,,2018,TV-14,5 Seasons,TV Shows,The alligator hunting industry is on the verge of collapse due to the lowest prices in history. Troy calls a meeting of the patriarchs from the swamp’s main gator hunting families: RJ Molinere Daniel Edgar and Bruce Mitchell. Together they form a Cajun Cartel and for the first time ever they put their differences aside to work as a team and fight to keep their industry alive.
s1633,TV Show,Momo Loves to Sing and Dance,,,3.12,,,2016,TV-Y,2 Seasons,Animation\International\Kids,Momo and friends have fun singing and dancing to hapyy music!
s811,TV Show,Tattletales,,Bert Convy,2.7,,,1974,TV-PG,1 Season,Unscripted,Celebrities & their spouses playing for sections of the studio audience try to match answers to questions about their personal lives.
s1674,Movie,Midnight Thunderstorm for Sleep 9 Hours,Mark Knight,,1.27,,,2014,ALL,541 min,Special Interest,Our most popular ambient sleep video is a full nine hours with an ultra dark screen for deep sleep. Relax to the sounds of rain softly falling on leaves accompanied by a natural thunderstorm. The dark screen reduces the blue-spectrum light waves-known to inhibit REM sleeping-helping create healthy sleep habits. For best results adjust your monitor or TV to the night or darkest screen setting.
s3175,Movie,Babysitters Beware,Douglas Horn,Rico Rodriguez\Trenton Rogers\Danny Trejo,2.35,,,2012,PG,72 min,Comedy\Kids,A staggering 7500 babies are born behind bars each year in the US. In most cases babies are separated from their mother immediately after birth. Currently there are 8 experimental prison nursery programs nationwide and we have exclusive access to 1 of them.
s4784,TV Show,Foxpro Hunting,,Mike Dillon\Al Morris\Abner Druckenmiller,2.12,,1-May-21,2018,13+,1 Season,Sports,Harry Angel has a new case to find a man called Johnny Favourite. Except things aren't quite that simple and Johnny doesn't want to be found. Let's just say that amongst the period detail and beautiful scenery it all gets really really nasty.
s7361,TV Show,Hideaki Anno: The final Challenge of Evangelion,,,4.14,,,2021,TV-NR,1 Season,Documentary,Dhananjay (Sachin Pilgaonkar) an ace bullock cart rider is asked to take part in an annual bullock cart race to win the village a religious honour but the memory of his last defeat continues to haunt him.
s1907,Movie,Lady Valor: The Kristin Beck Story,Mark Herzog\Sandrine Orabona,Kristin Beck,2.15,,,2014,16+,84 min,Documentary\Special Interest,Former U.S. Navy SEAL Christopher Beck finds himself once again in the line of fire as he embraces his new life as the transgender woman Kristin Beck. After coming out on CNN's Anderson Cooper 360 Kristin has learned that her fight for life liberty and the pursuit of happiness did not end on the battlefield.
