bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,publication_date,publisher
37690,The Lion  the Witch and the Wardrobe (Narnia),C.S. Lewis\Pauline Baynes,4.21,60845244,9780060845247,en-US,189,59,10/4/2005,HarperCollins Publishers
28456,Carpenter's Gothic,William Gaddis,3.77,184354167X,9781843541677,eng,262,1128,2/1/2010,Atlantic Books (UK)
12845,Tales of Power,Carlos Castañeda,4.13,671732528,9780671732523,en-US,304,4657,1/1/1991,Washington Square Press
33133,King Richard II,William Shakespeare\Andrew Gurr,3.77,521297656,9780521297653,eng,240,27,11/30/1984,Cambridge University Press
15852,Relativity: The Special and the General Theory,Albert Einstein\Nigel Calder\Robert W. Lawson,4.18,143039822,9780143039822,eng,130,14068,7/25/2006,Penguin Classics
3520,The Spy Who Barked (Adam Sharp #1),George E. Stanley,3.43,307264122,9780307264121,eng,48,26,4/9/2002,Random House Books for Young Readers
1684,The City of God,Augustine of Hippo\Thomas Merton\Marcus Dods,3.92,679783199,9780679783190,eng,905,104,9/12/2000,Random House
32370,Dry,Augusten Burroughs,4.03,312423799,9780312423797,eng,293,77100,4/1/2004,Picador USA
10776,Green Hills of Africa,Ernest Hemingway\Edward Shenton,3.56,99460955,9780099460954,eng,200,7290,3/4/2004,Vintage Classics
1567,Lysistrata and Other Plays,Aristophanes\Alan H. Sommerstein,3.95,140448144,9780140448146,en-US,241,3833,1/30/2003,Penguin Classics
26922,Affliction,Russell Banks\Pierre Furlan,3.99,2742722807,9782742722808,fre,486,63,12/29/1999,Babel
29043,Paris: The Secret History,Andrew Hussey,3.81,1596913231,9781596913233,eng,485,657,11/28/2006,Bloomsbury USA
22575,Sit  Walk  Stand,Watchman Nee,4.42,842358935,9780842358934,eng,80,2663,11/4/1977,Tyndale House Publishers
20738,Forms of Talk,Erving Goffman,3.81,081221112X,9780812211122,eng,344,82,3/1/1981,University of Pennsylvania Press
26474,Out of Africa / Shadows on the Grass,Isak Dinesen\Karen Blixen,4.24,679724753,9780679724759,eng,462,9298,10/23/1989,Vintage
32836,Around the World in Eighty Days,Jules Verne\Herbert R. Lottman\Jacqueline Rogers,3.93,451529774,9780451529770,eng,236,156,6/7/2005,Signet
34444,Doctor Faustus,Thomas Mann\T.J. Reed\H.T. Lowe-Porter,4.08,679409963,9780679409960,eng,580,88,6/2/1992,Everyman's Library
37379,The Night at the Museum,Milan Trenc,3.91,764136313,9780764136313,eng,32,817,11/1/2006,B.E.S. Publishing
41595,Robin Williams Web Design Workshop,Robin P. Williams\John Tollett\Dave Rohr,3.8,201748673,9780201748673,eng,384,54,8/4/2001,Peachpit Press
22235,Stargirl LitPlans on CD,Mary B. Collins,4.86,158337292X,9781583372920,eng,210,5,9/15/2005,Teacher's Pet Publications
33609,Katherine,Anya Seton\Philippa Gregory,4.19,155652532X,9781556525322,eng,500,25552,5/1/2004,Chicago Review Press
37656,The Turtle (The Lighthouse Family  #4),Cynthia Rylant\Preston McDaniels,4.07,689863128,9780689863127,eng,48,155,2/1/2006,Beach Lane Books
14693,The Sword of Welleran and Other Stories,Lord Dunsany\Sidney H. Sime,4.01,486442179,9780486442174,eng,112,328,4/1/2005,Dover Publications
44539,Stir-Fry,Emma Donoghue,3.59,1555837239,9781555837235,eng,240,1565,12/29/2006,Alyson Books
2715,Salt: A World History,Mark Kurlansky,3.74,142001619,9780142001615,eng,484,50335,1/28/2003,Penguin Books
35295,Jimmy Stewart: The Truth Behind the Legend,Michael Munn,3.97,1569803102,9781569803103,eng,317,212,5/30/2006,Barricade Books
