bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,publication_date,publisher
16325,Partners in Crime (Tommy and Tuppence #2),Agatha Christie,3.77,7111509,9780007111503,eng,347,10106,1/1/2001,HarperCollins Publishers
16720,As She Climbed Across the Table,Jonathan Lethem,3.67,375700129,9780375700125,eng,212,4488,2/24/1998,Vintage
11741,Housekeeping,Marilynne Robinson,3.82,312424094,9780312424091,eng,219,34723,11/1/2004,Picador USA
25172,The Dirty Duck (Richard Jury  #4),Martha Grimes,3.94,451411390,9780451411396,eng,320,3861,6/1/2004,Onyx
41261,The White Widow,Jim Lehrer,3.04,189162041X,9781891620416,en-US,224,181,5/19/2000,PublicAffairs
13661,Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,3.94,1416509631,9781416509639,eng,281,26096,11/23/2004,Pocket Books
7494,Suzanne's Diary for Nicholas,James Patterson,4.17,446611085,9780446611084,eng,289,131662,8/1/2003,Vision
69,The Known World,Edward P. Jones,3.83,60749911,9780060749910,eng,576,22,6/15/2004,Harper
4802,Tortilla Flat,John Steinbeck,3.83,141185112,9780141185118,en-GB,154,438,9/7/2000,Penguin Classics
22538,JPod,Douglas Coupland,3.69,1596911042,9781596911048,en-US,448,617,5/16/2006,Bloomsbury
16995,Fantastic Four  Volume 3,Mark Waid\Mike Wieringo,3.95,785120114,9780785120117,eng,256,118,11/23/2005,Marvel Comics Group
38670,Pedro PAramo,Juan Rulfo,4.05,351801434X,9783518014349,ger,132,450,4/1/1999,Suhrkamp
41307,La chute,Albert Camus,4.04,318634872,9780318634876,fre,152,87,1/11/1999,Gallimard
14030,The Dancing Girl of Izu and Other Stories,Yasunari Kawabata\J. Martin Holman,3.78,1887178945,9781887178945,eng,176,1385,8/29/1998,Counterpoint
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,9780345316509,en-US,439,15970,10/12/1985,Del Rey
13040,Siddhartha,Hermann Hesse,4.02,613572742,9780613572743,eng,132,514,2/2/1993,Turtleback Books
8019,Little Miss Birthday,Roger Hargreaves\Adam Hargreaves,4.02,843121319,9780843121315,eng,32,207,1/11/2007,Price Stern Sloan
32111,The Foundling,Georgette Heyer\Kay Hooper,3.87,373835493,9780373835492,eng,406,3716,3/25/2003,Harlequin
12589,The Golden Apples,Eudora Welty,3.88,015636090X,9780156360906,eng,288,830,9/14/1956,Mariner Books
45112,Assassin's Quest (Farseer Trilogy  #3),Robin Hobb,4.18,553565699,9780553565690,eng,757,67473,1/5/1998,Spectra
36268,The Pizza That We Made,Joan Holub\Lynne Avril Cravath,3.54,142300195,9780142300190,en-US,32,60,9/10/2001,Penguin Young Readers
19596,Color: A Natural History of the Palette,Victoria Finlay,3.78,812971426,9780812971422,en-US,464,61033,12/30/2003,Random House Trade Paperbacks
21365,From the Corner of His Eye,Dean Koontz\Stephen Lang,4.03,553502697,9780553502695,en-US,0,29,12/26/2000,Random House Audio Publishing Group
39508,Out on the Cutting Edge (Matthew Scudder  #7),Lawrence Block,4.07,752837494,9780752837499,eng,244,2383,12/7/2000,Orion
20645,Terry Jones' Medieval Lives,Terry Jones\Alan Ereira,4.02,563522755,9780563522751,eng,240,1950,5/5/2005,BBC Books
44175,Rash,Pete Hautman,3.75,689868014,9780689868016,eng,256,2994,6/1/2006,Simon  Schuster Books for Young Readers
31648,James and the Giant Peach: a Play,Richard R. George\Roald Dahl,4,142407917,9780142407912,en-GB,91,344,2/1/2007,Puffin Books
19532,Die Mandarins von Paris,Simone de Beauvoir,4.14,3499107619,9783499107610,ger,1040,61,1/1/2000,Rowohlt Tb.
43992,True Evil,Greg Iles,4.09,743292499,9780743292498,eng,512,13021,12/12/2006,Scribner Book Company
15764,The Amateur Marriage,Anne Tyler,3.62,345472454,9780345472458,eng,342,12986,1/31/2006,Ballantine Books
11920,Dime Store Magic (Women of the Otherworld  #3),Kelley Armstrong,4.08,553587064,9780553587067,eng,414,767,5/27/2004,Bantam Spectra
5294,Oscar Wilde,Richard Ellmann,4.24,394759842,9780394759845,eng,736,2695,11/5/1988,Vintage
43814,The Vampire Lestat (The Vampire Chronicles  #2),Anne Rice,4.07,345476883,9780345476883,eng,481,156354,8/31/2004,Ballantine Books
5174,Fall on Your Knees,Ann-Marie MacDonald,3.96,743466527,9780743466523,eng,672,55988,10/29/2002,Pocket Books
5066,Jackdaws,Ken Follett,3.97,451207521,9780451207524,eng,496,367,11/26/2002,Signet
41926,Spring Music,Elvi Rhodes,4.05,552146552,9780552146555,eng,464,37,8/19/1999,Corgi
44795,The Moon And Sixpence,W. Somerset Maugham,4.13,99284766,9780099284765,eng,215,447,9/2/1999,Vintage Classics
39031,The Cabinet of Curiosities (Pendergast  #3),Douglas Preston\Lincoln Child,4.25,446611239,9780446611237,eng,629,34650,6/1/2003,Warner Books
26093,Identity,Milan Kundera\Linda Asher,3.68,60175648,9780060175641,eng,176,266,4/21/1998,Harper
13011,Julius Caesar,William Shakespeare\Marvin Spevack\Marga Munkelt,3.68,521535131,9780521535137,eng,226,51,5/24/2004,Cambridge University Press
21245,Orion (Orion  #1),Ben Bova,3.72,812532473,9780812532470,eng,432,1386,12/15/1992,Tor Science Fiction
34835,A Matter of Trust,Penny Jordan,2.61,373117191,9780373117192,eng,224,36,12/23/1994,Harlequin Presents
10908,Harvesting the Heart,Jodi Picoult,3.6,140230270,9780140230277,eng,453,39611,4/1/1995,Penguin Books
28486,Beyond Death: The Gates of Consciousness,Stanislav Grof\Christina Grof,4,500810192,9780500810194,eng,96,29,2/18/1980,Thames & Hudson
42434,Sandworms of Dune (Dune Chronicles #8),Brian Herbert\Kevin J. Anderson,3.64,076531293X,9780765312938,en-US,494,8486,8/7/2007,Tor Books
16425,The Labours of Hercules (Hercule Poirot  #27),Agatha Christie\Hugh Fraser,3.78,1572704578,9781572704572,eng,9,11167,7/13/2005,AudioGO
11296,Haruki Murakami and the Music of Words,Jay Rubin,3.83,99455447,9780099455448,eng,462,1444,1/6/2005,Vintage
5685,Anna Karenina,Leo Tolstoy\Richard Pevear\Larissa Volokhonsky,4.05,142000272,9780142000274,en-US,838,2415,12/1/2001,Penguin Books
9122,The Picture of Dorian Gray,Oscar Wilde\Donald L. Lawler,4.08,393955680,9780393955682,eng,462,171,1/1/1988,W. W. Norton & Company
9418,Shopaholic Takes Manhattan (Shopaholic  #2),Sophie Kinsella,3.76,440241812,9780440241812,eng,387,100796,12/27/2004,Dell Publishing Company
7855,Planet of Slums,Mike  Davis,3.92,1844670228,9781844670222,eng,228,1727,3/1/2006,Verso
32351,Mutants: On Genetic Variety and the Human Body,Armand Marie Leroi,4.05,142004820,9780142004821,eng,448,3040,1/25/2005,Penguin Books
29396,Furies of Calderon (Codex Alera  #1),Jim Butcher,4.12,044101268X,9780441012688,eng,504,84357,6/28/2005,Ace
3690,The Power and the Glory,Graham Greene\John Updike,4,142437301,9780142437308,eng,222,25490,2/25/2003,Penguin Books
27847,Data Structures and Abstractions with Java,Frank M. Carrano\Walter J. Savitch,3.47,013237045X,9780132370455,eng,998,34,8/4/2006,Prentice Hall
